names,scores,logfoldchanges,pvals,pvals_adj
IL2RA,41.07396,3.6426575,0.0,0.0
CTLA4,37.087704,3.9596136,4.434671361627644e-301,5.858200868710118e-297
FOXP3,33.532547,5.442217,1.617504941752905e-246,1.4244826853703917e-242
TNFRSF4,30.301987,2.9885762,1.0792760150152607e-201,7.128618079175797e-198
TXN,28.205797,2.120878,4.964555532745874e-175,2.6232711435029196e-171
TNFRSF18,27.633335,2.8243062,4.426297100281639e-168,1.9490461564906813e-164
RPS14,-27.49349,-0.48735937,2.10022739896677e-166,7.926858268671723e-163
RPL21,-27.160059,-0.48825625,1.926099715724838e-162,6.360944311181278e-159
TIGIT,27.095388,2.7809105,1.115905079526171e-161,3.2758013556757154e-158
BATF,26.85134,1.9306092,8.136156765663792e-159,2.149572617488374e-155
RPS27,-26.351583,-0.547719,4.92248248823573e-153,1.182290793992618e-149
RPL31,-26.26591,-0.5062821,4.704080429077474e-152,1.0356817078018905e-148
RPL34,-25.14748,-0.49764192,1.5057734915423519e-139,3.0601950497345335e-136
CMTM6,25.035046,1.9780766,2.5404411793525664e-138,4.794175425606772e-135
RPS3,-25.0065,-0.4106703,5.1948938934200196e-138,9.149939777610461e-135
LINC01943,24.775364,1.9898771,1.652668320926623e-135,2.7289685649300865e-132
OAZ1,24.73246,0.974904,4.7882480962523195e-135,7.441500864881546e-132
RPS15A,-24.506983,-0.45810747,1.2444967145549291e-132,1.8266446221411793e-129
RPL10,-24.480099,-0.36852354,2.4067688561307888e-132,3.346675430472392e-129
RPL13A,-24.266228,-0.4018439,4.457459268331741e-130,5.888303693466229e-127
HSP90AA1,23.961056,1.4411614,7.086921838404424e-127,8.916022617649756e-124
RPS27A,-23.914642,-0.3725349,2.1568329470595022e-126,2.5901602936960022e-123
RPL3,-23.794636,-0.45973456,3.795350783037896e-125,4.359702942950488e-122
RPL30,-23.567896,-0.44324124,8.22864616240439e-123,9.058367983780167e-120
AC005912.1,-23.475609,-0.65852094,7.24054098943608e-122,7.65180371763605e-119
TAP1,23.451843,1.3921895,1.2659079098553482e-121,1.2863571914760884e-118
RPLP2,-22.827623,-0.337213,2.43856323653103e-115,2.386179285524067e-112
RPL27A,-22.7632,-0.35441247,1.0620554253365866e-114,1.0021251549068793e-111
RPL11,-22.695585,-0.428117,4.953030841438354e-114,4.512381890717287e-111
PSMA7,22.593884,1.2293245,4.977492057299006e-113,4.3835113384613246e-110
