names,scores,logfoldchanges,pvals,pvals_adj
IL2RA,34.75974,4.0598927,9.877463893481365e-265,3.0927327196879502e-260
TIGIT,29.821827,3.3312483,2.0365284623141165e-195,3.188287134175865e-191
CTLA4,29.631023,4.872218,5.955966950643868e-193,6.216242706387005e-189
TNFRSF4,27.178045,3.5077517,1.1807694448472365e-162,9.242768021902955e-159
TNFRSF18,26.84102,3.0185225,1.0737211789563152e-158,6.7238567668602365e-155
LINC01943,25.901102,2.7903004,6.472153566318699e-148,3.377493338583413e-144
FOXP3,25.03812,6.2396317,2.3519537518955993e-138,1.0520289132229016e-134
BATF,22.81683,2.294911,3.1211909941243713e-115,1.2215951402128524e-111
PGAM1,22.7548,2.4249382,1.286277289701786e-114,4.474958690872514e-111
CORO1A,22.520754,2.2228389,2.5990609985821415e-112,8.137919892660542e-109
TNFRSF1B,22.201576,2.8537748,3.3162121707393165e-109,9.439447207092613e-106
CMTM6,22.0526,2.2740908,9.018938751948843e-108,2.353266593852252e-104
PIM2,21.691717,2.2140532,2.4564752592689613e-104,5.916515141766957e-101
CCND2,21.650627,2.606222,5.995776090200111e-104,1.3409553225732547e-100
TXN,21.57934,2.2304955,2.808497276957723e-103,5.86245721592155e-100
CFLAR,21.492592,2.0796473,1.8262591205699656e-102,3.5738749577603873e-99
IL2RB,21.219172,2.4641776,6.35346818851019e-100,1.170196720296721e-96
PIM3,21.156113,2.2277727,2.424001715510873e-99,4.216550984131164e-96
SMAP2,21.144094,2.3580334,3.1273615472870185e-99,4.896040870355191e-96
SRM,21.144901,2.2467988,3.0743242372038133e-99,4.896040870355191e-96
FNBP1,21.047054,2.0312839,2.4333817675997557e-98,3.6281722154912355e-95
HERPUD1,20.995958,1.9963864,7.140923674379252e-98,1.0163157325840398e-94
SOCS1,20.96943,2.2877839,1.2474672261412878e-97,1.698236796422168e-94
TAP1,20.872772,1.9349369,9.468239143619476e-97,1.2352501492744558e-93
SEC11C,20.864523,2.1628463,1.1250928177419023e-96,1.4091112486526682e-93
PFN1,20.712446,1.7097318,2.675213177377326e-95,3.2216769152639026e-92
RBM3,20.705168,1.9754136,3.111537646527375e-95,3.608346490756246e-92
PMAIP1,20.597525,2.0624619,2.888380289132275e-94,3.229931258322166e-91
MTHFD2,20.512598,2.0597212,1.6617619082856529e-93,1.794187141735589e-90
PTPN7,20.377695,2.0857775,2.637898409872067e-92,2.7531745703834762e-89
HSPA8,20.355684,1.9626259,4.134413859352024e-92,4.175891366134556e-89
FKBP1A,20.268656,1.8728346,2.4321208227658594e-91,2.3797542213006818e-88
PSMA5,20.245565,1.8117088,3.887027628102893e-91,3.6880824867736266e-88
ARPC1B,20.199991,1.913901,9.791360911726864e-91,9.016979456090583e-88
MAF,20.180243,2.5635285,1.4602649314661587e-90,1.3063530076896256e-87
DDX21,20.162838,2.000555,2.0762423459168954e-90,1.8058117803612199e-87
DESI1,20.15946,2.3414145,2.2229138123754242e-90,1.8811257940347813e-87
PSMA1,20.133194,1.814331,3.7783701975166156e-90,3.11327761195902e-87
EIF2S2,20.125864,1.9259582,4.380616494168847e-90,3.5169611038184813e-87
RANBP1,19.982903,1.9233369,7.757961724400708e-89,6.072738488817764e-86
SERBP1,19.956366,1.8780546,1.3196846473372822e-88,1.0078206339701865e-85
CD74,19.954908,1.9053904,1.3587181527083388e-88,1.0129243828440666e-85
TXNDC17,19.950766,1.9981958,1.4761027564025986e-88,1.0748431024586457e-85
IL32,19.921896,2.191547,2.628510363547295e-88,1.8704838180233942e-85
NME1,19.919527,2.161396,2.755855581723628e-88,1.9175243137633003e-85
TPM4,19.888678,2.0739028,5.100314448548261e-88,3.471650993445535e-85
NAMPT,19.836298,2.2449203,1.447302312681276e-87,9.641804832417752e-85
PARK7,19.683384,1.7924106,2.9933030705585362e-86,1.952569009213715e-83
NHP2,19.670517,1.8970066,3.8583262183492596e-86,2.4654704535251768e-83
SLC1A5,19.648598,2.3154447,5.9432259668904405e-86,3.721766964986132e-83
AC016831.5,19.644817,2.0942087,6.402616267100008e-86,3.9308297635131054e-83
ARID5B,19.599016,1.8277705,1.576421987450652e-85,9.492182470974495e-83
CDV3,19.559563,2.0211427,3.419972427930389e-85,2.020429371526951e-82
SNRPD1,19.55721,1.755931,3.5814154337668756e-85,2.0766240490124934e-82
TNFRSF9,19.515709,3.0232584,8.074147358506148e-85,4.5965386898579267e-82
SLC7A5,19.452377,2.4155474,2.782314063650505e-84,1.5556613508385884e-81
VCP,19.441864,1.9595973,3.4152229771126617e-84,1.8760359059013079e-81
LTB,19.438328,2.103066,3.6589578108076993e-84,1.9752694485206875e-81
C1QBP,19.36923,2.005726,1.4033861042525943e-83,7.447698696653047e-81
